C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject14/agent.py
2021-05-15 19:40:03.060657: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-15 19:40:03.060920: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
스테이지를 무작위로 생성합니다.
2021-05-15 19:40:07.015765: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-15 19:40:07.019312: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-15 19:40:07.019562: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-15 19:40:07.028511: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-15 19:40:07.028968: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-15 19:40:07.029754: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-15 19:40:07.030764: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 28700 : 94, epsilon: 0.23810682149451953, 보상 합:95
에피소드 28800 : 101, epsilon: 0.2369192291520587, 보상 합:102
에피소드 28900 : 93, epsilon: 0.2357375600988303, 보상 합:94
에피소드 29000 : 301, epsilon: 0.23456178479156892, 보상 합:302
에피소드 29100 : 95, epsilon: 0.23339187383436072, 보상 합:96
에피소드 29200 : 57, epsilon: 0.23222779797790877, 보상 합:58
에피소드 29300 : 42, epsilon: 0.23106952811880072, 보상 합:43
에피소드 29400 : 116, epsilon: 0.22991703529878194, 보상 합:117
에피소드 29500 : 115, epsilon: 0.22877029070403126, 보상 합:116
에피소드 29600 : 165, epsilon: 0.22762926566444044, 보상 합:166
에피소드 29700 : 139, epsilon: 0.22649393165289786, 보상 합:140
에피소드 29800 : 98, epsilon: 0.2253642602845747, 보상 합:99
에피소드 29900 : 54, epsilon: 0.2242402233162158, 보상 합:55

Process finished with exit code 0
